                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                  1.034,                 1.1481,                 1.1884,                0.50626,                0.49289,                 0.5244,                 0.3641,                 1.4438,                  2.148,                 1.4154,             7.2794e-05,             7.2794e-05,             7.2794e-05
                     78,                 1.0362,                 1.1453,                 1.1875,                0.43365,                0.51541,                0.54606,                0.37525,                 1.4219,                 2.0976,                 1.3916,             6.9884e-05,             6.9884e-05,             6.9884e-05
                     79,                 1.0431,                 1.1465,                 1.1876,                0.54446,                0.47008,                0.52553,                0.35911,                 1.3963,                 2.1888,                 1.3847,             6.6973e-05,             6.6973e-05,             6.6973e-05
                     80,                 1.0249,                 1.1363,                 1.1874,                 0.4888,                0.42662,                0.49472,                0.34918,                  1.435,                 2.1215,                 1.4062,             6.4063e-05,             6.4063e-05,             6.4063e-05
                     81,                  1.039,                 1.1268,                 1.1835,                0.48017,                0.49156,                0.54294,                0.37645,                 1.4316,                  2.234,                 1.3928,             6.1152e-05,             6.1152e-05,             6.1152e-05
                     82,                 1.0413,                  1.139,                  1.189,                0.58352,                0.48937,                0.56086,                0.39037,                 1.4225,                 2.1635,                  1.391,             5.8241e-05,             5.8241e-05,             5.8241e-05
                     83,                 1.0333,                 1.1272,                 1.1822,                 0.5482,                 0.4677,                 0.5362,                 0.3682,                  1.428,                 2.1613,                 1.4142,             5.5331e-05,             5.5331e-05,             5.5331e-05
                     84,                 1.0237,                 1.1105,                 1.1774,                0.41985,                0.50995,                0.51938,                0.36821,                 1.4027,                 2.1012,                 1.3953,              5.242e-05,              5.242e-05,              5.242e-05
                     85,                 1.0119,                 1.1052,                 1.1789,                0.51202,                0.48333,                0.53904,                0.37845,                 1.4321,                 2.1309,                 1.4112,              4.951e-05,              4.951e-05,              4.951e-05
                     86,                 1.0175,                 1.1114,                 1.1819,                0.36854,                0.50095,                0.50088,                0.35654,                 1.4236,                  2.096,                  1.397,             4.6599e-05,             4.6599e-05,             4.6599e-05
                     87,                 1.0056,                 1.0998,                 1.1725,                0.51064,                 0.4689,                0.51286,                0.35907,                  1.436,                 2.1902,                 1.4072,             4.3688e-05,             4.3688e-05,             4.3688e-05
                     88,                 1.0122,                 1.0865,                 1.1698,                0.43148,                0.47902,                0.49677,                0.34696,                   1.45,                 2.2232,                 1.4057,             4.0778e-05,             4.0778e-05,             4.0778e-05
                     89,                 1.0306,                 1.1081,                 1.1811,                0.58657,                0.43021,                0.51432,                0.36401,                 1.4237,                 2.1201,                 1.3973,             3.7867e-05,             3.7867e-05,             3.7867e-05
